timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1710916621239,59,Login,200,OK,172.19.252.206:1099-Thread Group 1-1,text,true,,2057,334,1,1,https://api-stage.indonesia-hix.id/ehealth/v1/login/faskes,59,0,26
1710916621265,45,Login,200,OK,172.19.252.204:1099-Thread Group 1-1,text,true,,2057,334,1,1,https://api-stage.indonesia-hix.id/ehealth/v1/login/faskes,45,0,10
1710916621247,150,Login,200,OK,172.19.252.205:1099-Thread Group 1-1,text,true,,2057,334,2,2,https://api-stage.indonesia-hix.id/ehealth/v1/login/faskes,150,0,12
1710916621514,265,Login,200,OK,172.19.252.203:1099-Thread Group 1-3,text,true,,2057,334,5,5,https://api-stage.indonesia-hix.id/ehealth/v1/login/faskes,265,0,12
1710916621291,1011,Login,200,OK,172.19.252.203:1099-Thread Group 1-1,text,true,,2057,334,10,10,https://api-stage.indonesia-hix.id/ehealth/v1/login/faskes,1011,0,13
1710916621627,1071,Login,200,OK,172.19.252.203:1099-Thread Group 1-4,text,true,,2057,334,10,10,https://api-stage.indonesia-hix.id/ehealth/v1/login/faskes,1071,0,12
1710916621403,1496,Login,200,OK,172.19.252.203:1099-Thread Group 1-2,text,true,,2057,334,10,10,https://api-stage.indonesia-hix.id/ehealth/v1/login/faskes,1496,0,10
1710916622182,1925,Login,200,OK,172.19.252.203:1099-Thread Group 1-9,text,true,,2057,334,10,10,https://api-stage.indonesia-hix.id/ehealth/v1/login/faskes,1925,0,13
1710916621737,2660,Login,200,OK,172.19.252.203:1099-Thread Group 1-5,text,true,,2057,334,10,10,https://api-stage.indonesia-hix.id/ehealth/v1/login/faskes,2660,0,11
1710916622071,2811,Login,200,OK,172.19.252.203:1099-Thread Group 1-8,text,true,,2057,334,10,10,https://api-stage.indonesia-hix.id/ehealth/v1/login/faskes,2811,0,12
1710916621849,3033,Login,200,OK,172.19.252.203:1099-Thread Group 1-6,text,true,,2057,334,10,10,https://api-stage.indonesia-hix.id/ehealth/v1/login/faskes,3033,0,10
1710916622292,2591,Login,200,OK,172.19.252.203:1099-Thread Group 1-10,text,true,,2057,334,10,10,https://api-stage.indonesia-hix.id/ehealth/v1/login/faskes,2591,0,10
1710916621783,3100,Register,200,OK,172.19.252.203:1099-Thread Group 1-3,text,true,,1503,511,10,10,https://api-stage.indonesia-hix.id/ehealth/v1/register/faskes,3100,0,0
1710916621960,3018,Login,200,OK,172.19.252.203:1099-Thread Group 1-7,text,true,,2057,334,10,10,https://api-stage.indonesia-hix.id/ehealth/v1/login/faskes,3018,0,13
1710916624883,814,Login,200,OK,172.19.252.203:1099-Thread Group 1-3,text,true,,2057,334,10,10,https://api-stage.indonesia-hix.id/ehealth/v1/login/faskes,814,0,0
1710916622302,3395,Register,200,OK,172.19.252.203:1099-Thread Group 1-1,text,true,,1498,509,10,10,https://api-stage.indonesia-hix.id/ehealth/v1/register/faskes,3395,0,0
